"Ft_minus_F0_ppm","F0_ppm","Ft_ppm","FL_ppm","t_days","alpha","mu_day","mu_day_sem","mu_sigma_ratio","mu_year","mu_year_sem","T_G_years","T_G_years_sem"
7,95,102,3700,14,0.66,0.000213356249948313,3.97649385279151e-05,5.36543643336796,0.0778750312311343,0.014514202562689,8.9007627939522,1.65890751003923
7.1,95,102.1,3700,14,0.66,0.000216408818227099,4.01878307697214e-05,5.3849340479991,0.078989218652891,0.0146685582309483,8.77521252116571,1.62958588590817
7.2,95,102.2,3700,14,0.66,0.000219461516965875,4.06122751065158e-05,5.40382227763115,0.0801034536925444,0.0148234804138783,8.65314975332281,1.60130169142351
7.3,95,102.3,3700,14,0.66,0.000222514346175825,4.10382248869032e-05,5.4221240511511,0.0812177363541763,0.0149789520837197,8.53443116830112,1.57400145916789
7.4,95,102.4,3700,14,0.66,0.000225567305868063,4.14656352093338e-05,5.43986133889705,0.0823320666418431,0.0151349568514069,8.41892119112277,1.54763525513497
7.5,95,102.5,3700,14,0.66,0.000228620396053751,4.18944628490626e-05,5.45705519312719,0.0834464445596192,0.0152914789399079,8.30649147747354,1.52215639818616
7.6,95,102.6,3700,14,0.66,0.000231673616744061,4.2324666188186e-05,5.47372578708552,0.0845608701115822,0.0154485031586879,8.19702043800287,1.49752120527166
7.7,95,102.7,3700,14,0.66,0.000234726967950133,4.27562051486585e-05,5.48989245266306,0.0856753433017987,0.0156060148792603,8.09039279969122,1.47368875974368
7.8,95,102.8,3700,14,0.66,0.00023778044968316,4.31890411281947e-05,5.50557371666054,0.0867898641343534,0.0157640000117911,7.9864992009543,1.45062070039788
7.9,95,102.9,3700,14,0.66,0.00024083406195426,4.3623136938918e-05,5.52078733566275,0.0879044326133051,0.0159224449827051,7.88523581750565,1.42828102915126
8,95,103,3700,14,0.66,0.000243887804774605,4.40584567486965e-05,5.53555032954758,0.0890190487427308,0.0160813367132742,7.78650401627154,1.40663593549296
8.1,95,103.1,3700,14,0.66,0.000246941678155372,4.44949660250074e-05,5.54987901365255,0.0901337125267108,0.0162406625991277,7.69021003494707,1.38565363605754
8.2,95,103.2,3700,14,0.66,0.00024999568210771,4.49326314812566e-05,5.56378902962749,0.0912484239693143,0.0164004104906587,7.5962646849993,1.36530422784702
8.3,95,103.3,3700,14,0.66,0.000253049816642818,4.53714210254698e-05,5.57729537500633,0.0923631830746285,0.0165605686742965,7.5045830761364,1.34555955378782
8.4,95,103.4,3700,14,0.66,0.000256104081771822,4.58113037111936e-05,5.59041243153368,0.093477989846715,0.0167211258545857,7.41508436046353,1.32639307945107
8.5,95,103.5,3700,14,0.66,0.000259158477505899,4.62522496906076e-05,5.60315399228087,0.0945928442896533,0.0168820711370718,7.32769149469124,1.30777977988579
8.6,95,103.6,3700,14,0.66,0.000262213003856236,4.6694230169653e-05,5.61553328759344,0.0957077464075263,0.0170433940119233,7.24233101893869,1.28969603562664
8.7,95,103.7,3700,14,0.66,0.000265267660833989,4.71372173651622e-05,5.62756300990394,0.0968226962044059,0.0172050843382842,7.15893285079169,1.27211953703454
8.8,95,103.8,3700,14,0.66,0.000268322448450361,4.75811844638733e-05,5.63925533745569,0.0979376936843818,0.0173671323293138,7.07743009339908,1.25502919621162
8.9,95,103.9,3700,14,0.66,0.000271377366716489,4.80261055832354e-05,5.65062195697207,0.0990527388515184,0.0175295285378809,6.99775885651162,1.23840506581357
9,95,104,3700,14,0.66,0.000274432415643555,4.84719557339706e-05,5.66167408531496,0.100167831709898,0.0176922638428993,6.91985808944545,1.22222826414433
9.1,95,104.1,3700,14,0.66,0.000277487595242753,4.89187107842473e-05,5.67242249017138,0.101282972263605,0.0178553294362503,6.84366942506308,1.20648090598349
9.2,95,104.2,3700,14,0.66,0.000280542905525255,4.93663474254515e-05,5.68287750980372,0.102398160516718,0.0180187168102898,6.76913703392922,1.19114603864883
9.3,95,104.3,3700,14,0.66,0.000283598346502248,4.98148431394574e-05,5.69304907190634,0.10351339647332,0.0181824177459019,6.69620748787426,1.17620758284313
9.4,95,104.4,3700,14,0.66,0.000286653918184898,5.02641761673153e-05,5.70294671160445,0.104628680137488,0.0183464243010701,6.62482963226826,1.16165027787967
9.5,95,104.5,3700,14,0.66,0.000289709620584388,5.07143254793412e-05,5.71257958862931,0.105744011513301,0.0185107287999595,6.55495446636006,1.14745963091831
9.6,95,104.6,3700,14,0.66,0.000292765453711918,5.11652707464869e-05,5.7219565037095,0.10685939060485,0.0186753238224677,6.48653503109613,1.13362186987807
9.7,95,104.7,3700,14,0.66,0.000295821417578668,5.16169923129605e-05,5.73108591420949,0.107974817416214,0.0188402021942306,6.41952630387927,1.12012389972429
9.8,95,104.8,3700,14,0.66,0.000298877512195831,5.20694711700503e-05,5.7399759490498,0.109090291951478,0.0190053569770684,6.35388509976897,1.10695326185483
9.9,95,104.9,3700,14,0.66,0.000301933737574582,5.2522688931065e-05,5.74863442294175,0.110205814214722,0.0191707814598387,6.28956997867131,1.09409809633585
10,95,105,3700,14,0.66,0.00030499009372611,5.29766278073803e-05,5.75706884996595,0.11132138421003,0.0193364691496938,6.22654115809578,1.08154710675948
10.1,95,105.1,3700,14,0.66,0.000308046580661622,5.34312705854947e-05,5.76528645652776,0.112437001941492,0.0195024137637056,6.16476043109573,1.06928952751613
10.2,95,105.2,3700,14,0.66,0.000311103198392306,5.38866006050878e-05,5.77329419371338,0.113552667413192,0.0196686092208571,6.10419108903664,1.05731509329346
10.3,95,105.3,3700,14,0.66,0.000314159946929362,5.4342601738016e-05,5.78109874907936,0.114668380629217,0.0198350496343758,6.0447978488617,1.04561401062805
10.4,95,105.4,3700,14,0.66,0.000317216826283971,5.47992583681899e-05,5.78870655789951,0.115784141593649,0.0200017293043893,5.9865467845552,1.03417693135364
10.5,95,105.5,3700,14,0.66,0.00032027383646733,5.52565553723394e-05,5.79612381389331,0.116899950310576,0.0201686427109039,5.92940526252079,1.02299492780123
10.6,95,105.6,3700,14,0.66,0.000323330977490655,5.57144781015636e-05,5.80335647946384,0.118015806784089,0.0203357845070707,5.87334188061827,1.01205946961936
10.7,95,105.7,3700,14,0.66,0.000326388249365138,5.61730123636785e-05,5.81041029546389,0.119131711018275,0.0205031495127427,5.8183264106197,1.00136240209439
10.8,95,105.8,3700,14,0.66,0.000329445652101988,5.66321444063038e-05,5.81729079051644,0.120247663017226,0.0206707327083009,5.76432974386081,0.99089592585917
10.9,95,105.9,3700,14,0.66,0.000332503185712393,5.7091860900652e-05,5.82400328990845,0.121363662785024,0.020838529228738,5.71132383988563,0.980652577889496
11,95,106,3700,14,0.66,0.000335560850207558,5.75521489260096e-05,5.8305529240787,0.122479710325759,0.0210065343579935,5.65928167789086,0.970625213694479
11.1,95,106.1,3700,14,0.66,0.000338618645598704,5.80129959548562e-05,5.83694463671909,0.123595805643527,0.0211747435235225,5.60817721079556,0.960806990615536
11.2,95,106.2,3700,14,0.66,0.000341676571897031,5.84743898385917e-05,5.8431831925082,0.124711948742416,0.021343152291086,5.5579853217721,0.951191352155145
11.3,95,106.3,3700,14,0.66,0.000344734629113757,5.89363187938733e-05,5.84927318449339,0.125828139626521,0.0215117563597638,5.50868178308382,0.941772013262693
11.4,95,106.4,3700,14,0.66,0.000347792817260075,5.93987713894917e-05,5.85521904114003,0.126944378299927,0.0216805515571645,5.46024321709047,0.932542946510732
11.5,95,106.5,3700,14,0.66,0.000350851136347198,5.98617365338057e-05,5.86102503306201,0.128060664766727,0.0218495338348391,5.41264705928685,0.923498369099967
11.6,95,106.6,3700,14,0.66,0.000353909586386355,6.03252034626753e-05,5.86669527945028,0.129176999031019,0.0220186992638765,5.36587152325391,0.914632730636165
