"label_panel","FL_ppm","alpha_label","alpha","deltaH_permil","deltaH_ppm","generation_time_years","mu_day","detectable_fraction","incubation_time_days","TG_error_years"
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,55.9645722436092,3.39327773851424e-05,0.0207444694085038,617.770199922695,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,57.2703560508648,3.31590983948219e-05,0.0207444694085038,632.184217422065,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,58.6066068354051,3.24030595514681e-05,0.0207444694085038,646.934547518738,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,59.9740354627652,3.16642586536656e-05,0.0207444694085038,662.029037168852,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,61.3733693846285,3.09423026703295e-05,0.0207444694085038,677.475716416309,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,62.8053530258208,3.02368075316187e-05,0.0207444694085038,693.282802664635,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,64.2707481803323,2.95473979246167e-05,0.0207444694085038,709.458705048516,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,65.7703344165814,2.88737070936702e-05,0.0207444694085038,726.012028907339,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,67.3049094921332,2.82153766452814e-05,0.0207444694085038,742.951580363095,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,68.8752897780947,2.75720563574468e-05,0.0207444694085038,760.286371005114,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,70.4823106934122,2.69434039933456e-05,0.0207444694085038,778.025622684091,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,72.1268271493015,2.63290851192738e-05,0.0207444694085038,796.178772417973,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,73.8097140040481,2.5728772926731e-05,0.0207444694085038,814.755477412315,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,75.5318665284188,2.51421480585628e-05,0.0207444694085038,833.765620197768,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,77.2942008819323,2.45688984390679e-05,0.0207444694085038,853.219313887441,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,79.0976546002428,2.40087191079782e-05,0.0207444694085038,873.12690755692,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,80.9431870938945,2.34613120582245e-05,0.0207444694085038,893.498991749831,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,82.831780158714,2.29263860774013e-05,0.0207444694085038,914.346404111844,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,84.7644384981113,2.24036565928461e-05,0.0207444694085038,935.680235156144,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,86.7421902575664,2.18928455202509e-05,0.0207444694085038,957.511834163417,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,88.7660875715882,2.13936811157254e-05,0.0207444694085038,979.8528152195,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,90.8372071234338,2.09058978312336e-05,0.0207444694085038,1002.7150633939,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,92.9566507178884,2.04292361733259e-05,0.0207444694085038,1026.11074106247,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,95.1255458674086,1.99634425650928e-05,0.0207444694085038,1050.05229437763,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,97.3450463919427,1.95082692112651e-05,0.0207444694085038,1074.55245988951,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,99.6163330327454,1.90634739663913e-05,0.0207444694085038,1099.62427132162,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,101.940614080515,1.86288202060193e-05,0.0207444694085038,1125.2810665046,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,104.319126018185,1.82040767008157e-05,0.0207444694085038,1151.53649447172,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,106.753134178717,1.77890174935558e-05,0.0207444694085038,1178.40452272002,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,109.243933418236,1.7383421778917e-05,0.0207444694085038,1205.89944464074,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,111.792848804875,1.69870737860139e-05,0.0207444694085038,1234.03588712325,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,114.401236323696,1.65997626636117e-05,0.0207444694085038,1262.8288183363,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,117.070483598048,1.62212823679561e-05,0.0207444694085038,1292.29355569088,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,119.802010627764,1.58514315531614e-05,0.0207444694085038,1322.44577398885,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,122.597270544582,1.5490013464097e-05,0.0207444694085038,1353.30151376171,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,125.457750385185,1.51368358317172e-05,0.0207444694085038,1384.87718980391,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,128.384971882289,1.47917107707767e-05,0.0207444694085038,1417.18959990529,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,131.380492274174,1.4454454679878e-05,0.0207444694085038,1450.25593378724,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,134.445905133119,1.4124888143799e-05,0.0207444694085038,1484.09378224738,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,137.582841213153,1.38028358380461e-05,0.0207444694085038,1518.72114651761,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,140.792969317596,1.34881264355845e-05,0.0207444694085038,1554.15644784051,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,144.077997186836,1.31805925156948e-05,0.0207444694085038,1590.41853726913,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,147.439672406821,1.28800704749074e-05,0.0207444694085038,1627.52670569549,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,150.879783338749,1.2586400439968e-05,0.0207444694085038,1665.50069411307,NA
